Strategy,Annual Return,Cumulative Return,Annual Volatility,Sharpe Ratio,Maximum Drawdown
PPO Conservative,0.06975557394691556,0.1431527931828478,0.11291117872541498,0.6536168132899782,-0.10259612805387552
PPO Moderate,0.07865982507593272,0.1621094453174987,0.16847013161606716,0.5337015105595084,-0.14155153998100567
PPO Aggressive,0.22917351498619487,0.5059271259754115,0.14985964791400447,1.4523258516787145,-0.1217197568842805
MVO,0.14906906295338107,0.317450749808462,0.12926480411383576,1.1396090071435157,-0.11305013449284163
DJI,0.14885624792800756,0.3176920696455423,0.11455519788698144,1.268826365335865,-0.09120110024596462
Equal Weight,0.14906906295338107,0.317450749808462,0.12926480411383576,1.1396090071435157,-0.11305013449284163
