Update,Timesteps,Policy Loss,Value Loss,Total Loss
1,256,-0.027055898518301546,0.0024964989828731633,-0.06208249554038048
2,384,-0.014864981803111733,0.0029765791550744325,-0.023716505616903305
3,512,-0.013755286997184157,0.003030922818470572,0.008302255533635616
4,640,-0.022811452322639526,0.0028633544920012356,-0.01117686741054058
5,768,-0.020758600055705755,0.0023008969590591734,-0.09233806282281876
6,896,-0.028316841798368842,0.0012314021369093098,-0.06559273600578308
7,1024,-0.01732074111350812,0.0010205016662439448,0.008728763088583946
8,1152,-0.020114662568084897,0.001120835286565125,-0.0018109416123479605
9,1280,-0.0282458262052387,0.0011539687202457571,-0.018610617145895958
10,1408,-0.023331817879807204,0.002191346199651889,-0.022982202470302582
11,1536,-0.038265516614774245,0.001036354341158585,-0.11962477117776871
12,1664,-0.02903502599801868,0.0012547868818728602,-0.07737378776073456
13,1792,-0.016869877651333808,0.000991264763797517,-0.01593124493956566
14,1920,-0.03380633526248857,0.0009674243709014263,-0.12228845059871674
15,2048,-0.03583226788323372,0.0027780496937339196,-0.04289352148771286
16,2176,-0.05815134209115058,0.002039482359032263,-0.10607361048460007
17,2304,-0.03569211128633469,0.0025435525421926286,0.04697806015610695
18,2432,-0.02806881113210693,0.0030753611092222853,-0.043341368436813354
19,2560,-0.037161312240641564,0.004829116180007986,-0.022920742630958557
20,2688,-0.019840192614356055,0.0008176048650057055,-0.03342752903699875
21,2816,-0.02868435091804713,0.0018887619367887964,-0.05963022634387016
22,2944,-0.03841867035953328,0.0024166016846720595,-0.08788660168647766
23,3072,-0.038057625765213744,0.0007591018345920019,-0.05981171131134033
24,3200,-0.028145584894809873,0.0008055959953708225,-0.027032114565372467
25,3328,-0.023390933685004712,0.0011201579944099648,-0.005441030953079462
26,3456,-0.02265722487354651,0.0019608865470218005,-0.07938040047883987
27,3584,-0.027485464292112738,0.001807695378010976,-0.08953243494033813
28,3712,-0.029858824447728693,0.0004996979583665962,-0.04540077596902847
29,3840,-0.04108744764234871,0.0002564005024396465,-0.1178491935133934
30,3968,-0.03608190829399973,0.000549324091662129,-0.04742642492055893
31,4096,-0.02546476465649903,0.00043414858873802586,0.022566061466932297
32,4224,-0.029707150789909063,0.0007213377042717184,-0.025141438469290733
33,4352,-0.023780803312547505,0.0008132686367389397,0.04233504459261894
34,4480,-0.030960346141364427,0.0005462494003950269,-0.010706495493650436
35,4608,-0.028575642313808203,0.00036802405029447984,-0.091799795627594
36,4736,-0.03230471797287464,0.0005987483220451395,-7.910658314358443e-05
37,4864,-0.03047232471872121,0.0016248784402705496,-0.11158151924610138
38,4992,-0.05956541658379137,0.0015126385045732605,-0.05654925853013992
39,5120,-0.04722585846902803,0.0015179905480181334,-0.11277028918266296
40,5248,-0.06811944196233526,0.002210045554602402,-0.11469721049070358
41,5376,-0.03454994086641818,0.0010642133433066193,-0.0016661279369145632
42,5504,-0.03782318017911166,0.0010399029706604779,-0.1315462440252304
43,5632,-0.027836581435985865,0.0013902126760513057,-0.052174147218465805
44,5760,-0.01844256219919771,0.0016505505120221642,-0.020772187039256096
45,5888,-0.040512207360006866,0.0006027660137988278,-0.04706495627760887
46,6016,-0.04404894409235567,0.0004232501669321209,-0.15115474164485931
47,6144,-0.03498024149448611,0.0008584579392845626,-0.017656804993748665
48,6272,-0.03466820531175472,0.0010065961339932982,0.022142205387353897
49,6400,-0.01865463089197874,0.00039251577654795253,-0.037268612533807755
50,6528,-0.0283775192219764,0.0002784337019875238,-0.08007064461708069
51,6656,-0.028657942044083028,0.00010774818201753078,-0.013936730101704597
52,6784,-0.013558748806826771,0.00042549666432023514,-0.04549643397331238
53,6912,-0.02914274369832128,0.0004703567510659923,-0.06733135879039764
54,7040,-0.03289645276963711,0.0005872443463886157,-0.06807766109704971
55,7168,-0.04226665678434074,0.0002613512036987231,-0.04783664271235466
56,7296,-0.01360419753473252,0.00024406249012827176,-0.07563208788633347
57,7424,-0.03992466280469671,0.0003106273831690487,-0.0021238881163299084
58,7552,-0.022215172974392773,0.0006742569623384043,-0.0319405198097229
59,7680,-0.05777372666634619,0.0007543047042418039,-0.1327746957540512
60,7808,-0.03869087827624753,0.0011291275477560703,-0.0762210339307785
61,7936,-0.03502935093129054,0.0007883930577008869,-0.03419266268610954
62,8064,-0.056888767232885586,0.001712768624201999,-0.08038423210382462
63,8192,-0.031165366258937864,0.0003686961616949702,-0.06043904647231102
64,8320,-0.04513637373456732,0.0018272043842443963,-0.09011022001504898
65,8448,-0.042676937952637675,0.00063235417346732,-0.04485324025154114
66,8576,-0.03812615014612675,0.0007110377970093396,-0.12279783934354782
67,8704,-0.028449080954305827,0.0006893916384797194,-0.04515288025140762
68,8832,-0.05453118681907654,0.0007266751399583882,-0.13019602000713348
69,8960,-0.032850808009970936,0.00028102604669584253,-0.0234210342168808
70,9088,-0.01944225262850523,0.00019323042924952462,-0.03316495567560196
71,9216,-0.03162360027199611,0.0002621976626869582,-0.057223718613386154
72,9344,-0.02954150247387588,0.00011942029886995442,-0.041849635541439056
73,9472,-0.012834618741180748,0.0001764786446983635,-0.014829819090664387
