Update,Timesteps,Policy Loss,Value Loss,Total Loss
37,9728,-0.002736986323725432,0.0012135272962041199,-0.008211907930672169
38,9984,-0.002315394626930356,0.0015702832897659391,-0.007368655409663916
39,10240,-0.003521211934275925,0.0008179609663784504,-0.008815457113087177
40,10496,-0.002744814602192491,0.0006838157787569799,-0.0041650873608887196
41,10752,-0.003591644298285246,0.0012813943831133656,-0.006882444489747286
42,11008,-0.004242432001046836,0.0016374471422750502,-0.007448492106050253
43,11264,-0.003765570663381368,0.0015035807911772281,-0.0031800996512174606
44,11520,-0.0030480865272693334,0.001120881391398143,-0.003793716663494706
45,11776,-0.003368650015909225,0.0007336018104979302,-0.011380108073353767
46,12032,-0.002464007737580687,0.0006149368331534788,-0.003984990529716015
47,12288,-0.003048723028041422,0.0007610708562424406,-0.010119210928678513
48,12544,-0.0031819378957152365,0.0011626191306277178,-0.006180673837661743
49,12800,-0.0012009970145300032,0.0008440281570074148,-0.002089480869472027
50,13056,-0.0019430252490565182,0.00040786306963127574,-0.0048363711684942245
51,13312,-0.003921914601232856,0.0006736149684002157,-0.0010573436738923192
52,13568,-0.005221841100137681,0.0007415784282784443,-0.007001248188316822
53,13824,-0.0027815705398097634,0.0016119976105983369,-0.008425692096352577
54,14080,-0.0059955333126708865,0.0014736736586201005,-0.010445705614984035
55,14336,-0.005207382119260728,0.0008316778708831407,-0.012378821149468422
56,14592,-0.00384315752889961,0.0006315894432191271,-0.009673526510596275
57,14848,-0.0019400115590542555,0.00044672665317193607,-0.00045981601579114795
58,15104,-0.0022751643205992877,0.0006914938865520525,-0.005134447477757931
59,15360,-0.0047655747854150835,0.0007982654235092923,-0.007599133066833019
60,15616,-0.0032450282014906406,0.0007593607406306546,-0.004315529949963093
61,15872,-0.0037844901671633124,0.000415608000184875,-0.007597489282488823
62,16128,-0.002557949919719249,0.0009287469554692506,-0.003303252160549164
63,16384,-0.0044244026648812,0.0005148481119249482,-0.012620599009096622
64,16640,-0.005182774597778916,0.002184867608593777,-0.007497176993638277
65,16896,-0.004078507237136364,0.0014523447272949852,-0.013813038356602192
66,17152,-0.0029991733841598033,0.0004151049281063024,-0.0024204181972891092
67,17408,-0.004852031846530736,0.0003877258575812448,-0.009315913543105125
68,17664,-0.0032457996159791945,0.0003545378378476016,-0.007792835123836994
69,17920,-0.004346782271750271,0.0005043996578024234,-0.006125307641923428
70,18176,-0.003989930346142501,0.0006307313349680043,-0.009258875623345375
71,18432,-0.0036778704496100547,0.0005186127098568249,-0.006724569480866194
72,18688,-0.004552589601371437,0.00037281614859239196,-0.011024190112948418
73,18944,-0.003715510736219585,0.0008149051660439,-0.013518099673092365
74,19200,-0.0043797963066026565,0.0009558720790664666,-0.01430751197040081
75,19456,-0.005023037060163915,0.001066615991294384,0.0010727577609941363
76,19712,-0.003990023490041494,0.0009252450385247357,-0.01044469978660345
77,19968,-0.004007641575299203,0.0006819027119490783,-0.010452991351485252
78,20224,-0.003527782706078142,0.00035976256476715206,-0.011870808899402618
79,20480,-0.0032374276663176714,0.00040574135127826596,-0.0025744354352355003
80,20736,-0.0023017780156806113,0.0006777294649509713,-0.0033439171966165304
81,20992,-0.003106926300097257,0.0006256473723624367,-0.012712055817246437
82,21248,-0.00229777165222913,0.00048190991437877526,-0.009166442789137363
83,21504,-0.0023925244808197022,0.00041116742067970335,-0.005052648950368166
84,21760,-0.004842921905219555,0.0008813314940198325,-0.010866695083677769
85,22016,-0.004810932104010135,0.0010208693929598667,-0.005444181151688099
86,22272,-0.004800679627805948,0.0011677403992507607,-0.00472058542072773
87,22528,-0.004198820027522743,0.000511414572247304,-0.006459564436227083
88,22784,-0.0015578272053971888,0.0006017836632963736,-0.0029390589334070683
89,23040,-0.005538422684185207,0.00039144829206634314,-0.010899866931140423
90,23296,-0.0027344892267137768,0.00029800387128489094,-0.0014649579534307122
91,23552,-0.0030511308927088977,0.0008357974693353754,-0.006549624726176262
92,23808,-0.0036901645828038452,0.000763961611664854,-0.009803561493754387
93,24064,-0.002822682657279074,0.0004933680145768448,-0.005811433773487806
94,24320,-0.0028534549986943603,0.0005775271056336351,-0.009836036711931229
95,24576,-0.006941298511810601,0.0009026833358802833,-0.004595327191054821
96,24832,-0.0037650804268196227,0.001093152000248665,-0.011782699264585972
97,25088,-0.007944721402600408,0.0017340652673738077,-0.021150605753064156
98,25344,-0.0034797753440216185,0.0006813055159000214,-0.00497337756678462
99,25600,-0.005888232204597443,0.0005856049305293709,-0.0025509691331535578
100,25856,-0.001853717805352062,0.0006724200480675791,-0.004552668426185846
101,26112,-0.006045868014916777,0.0003922187603166094,-0.014526234939694405
102,26368,-0.007364329299889505,0.0008940756728406995,-0.0033432813361287117
103,26624,-0.003822124539874494,0.0006072287265851628,-0.006767912767827511
104,26880,-0.002828307799063623,0.00041218836122425273,-0.011316653341054916
105,27136,-0.005265083233825863,0.0007517685065977275,-0.015753092244267464
106,27392,-0.003192041628062725,0.000538265288923867,-0.0049667442217469215
107,27648,-0.00504552349448204,0.0013770388075499795,-0.013226429931819439
108,27904,-0.009111077501438558,0.0007965871736814734,-0.013477287255227566
109,28160,-0.0029371775686740874,0.0005218633967160712,-0.011841894127428532
110,28416,-0.004013284819666296,0.0004367471185105387,-0.005187705159187317
111,28672,-0.0030980241717770696,0.00039445981965400276,-0.01148650050163269
112,28928,-0.0015174289816059171,0.00033800367564253977,-0.00492133479565382
113,29184,-0.0041094254527706655,0.0005491757990967016,-0.008040227927267551
114,29440,-0.002035137906204909,0.0007407028708257713,-0.007937128655612469
115,29696,-0.004225621093064546,0.00047248951232177206,-0.005688135512173176
116,29952,-0.0028180837631225585,0.0007328161882469431,-0.004164515063166618
117,30208,-0.005976932076737285,0.0005997783235216047,-0.008577406406402588
118,30464,-0.00820014316122979,0.0013305355692864395,-0.01673903502523899
119,30720,-0.006691773550119251,0.0006717117808875628,-0.015304232016205788
120,30976,-0.004979191371239722,0.00044186464147060177,-0.016590122133493423
121,31232,-0.006535570695996284,0.00033879677903314587,-0.007548483554273844
122,31488,-0.0037372275139205156,0.0004608481533068698,-0.006012231111526489
123,31744,-0.005318551219534129,0.0004962239698215853,0.00014530113548971713
124,32000,-0.005732904805336147,0.0009924361991579644,-0.013068395666778088
125,32256,-0.0047755687846802175,0.0002724355446844129,-0.0072261858731508255
126,32512,-0.0050198159413412215,0.0002723229004914174,-0.010883963666856289
127,32768,-0.0064424504293128845,0.0007994017782039009,-0.011948622763156891
128,33024,-0.005515112448483706,0.0011901586069143378,-0.015607676468789577
129,33280,-0.007752871385309845,0.0006069145798392128,-0.017923498526215553
130,33536,-0.005447520327288657,0.0005846662665135227,-0.016569171100854874
