Update,Timesteps,Policy Loss,Value Loss,Total Loss
47,12288,-0.005500445504569345,0.00033244244291886897,-0.012038112618029118
48,12544,-0.008988762067423927,0.0002758860605859405,-0.019640527665615082
49,12800,-0.008755679759714339,0.0006255019883004328,-0.031752441078424454
50,13056,-0.0027591678727832106,0.00021530935757457174,-0.008564704097807407
51,13312,-0.0031595419988864,0.0006984868895314219,-0.012396913021802902
52,13568,-0.007203891795749466,0.0009926448239841396,-0.01469254121184349
53,13824,-0.010987353588764867,0.0010176800682933794,-0.01867031306028366
54,14080,-0.00818119309325185,0.0008769013091093964,-0.014423320069909096
55,14336,-0.00628950532215337,0.0009026852332883411,-0.015477989800274372
56,14592,-0.007483664382663038,0.0004437076859176159,-0.019820338115096092
57,14848,-0.00517675435791413,0.00026594799338555377,-0.008080224506556988
58,15104,-0.004687044484954741,0.00025835434240030334,-0.009790278039872646
59,15360,-0.0023374412364015975,0.0006068220245651901,-0.005529583431780338
60,15616,-0.006783239698658387,0.00042138769963963167,-0.01876351609826088
61,15872,-0.007552192753387822,0.0002011615619671324,-0.020521992817521095
62,16128,-0.00315799194181131,0.0007115757940078361,-0.01139149535447359
63,16384,-0.00791322010465794,0.0006232147328167533,-0.0038294773548841476
64,16640,-0.015529487851179309,0.0008036630137616561,-0.04061046615242958
65,16896,-0.01009696931578219,0.0011575142109197462,-0.01791161112487316
66,17152,-0.012523529171529744,0.000490958477409246,-0.03484991937875748
67,17408,-0.007906927701292766,0.0007166368353258198,-0.024723120033740997
68,17664,-0.00668054876021213,0.00017319649648723297,-0.014861676841974258
69,17920,-0.00632901717391279,0.00031753487888232083,-0.02301325649023056
70,18176,-0.01099437852907512,0.0006955445957525322,-0.017110338434576988
71,18432,-0.003664113865751359,0.00047614519846522145,-0.016644267365336418
72,18688,-0.004569794439400236,0.00040507620562695793,-0.0163105595856905
73,18944,-0.005091511980733938,0.0006516544623688484,-0.010947894304990768
74,19200,-0.014727892716311745,0.0012567822155283971,-0.012938348576426506
75,19456,-0.011361861834302545,0.0009536262433458534,-0.012534180656075478
76,19712,-0.009618430036223598,0.0006690445475720076,-0.020441042259335518
77,19968,-0.00987543553734819,0.0005404536576760518,-0.004768941085785627
78,20224,-0.007681902265176177,0.0005486368932502551,-0.013395696878433228
79,20480,-0.003845559847023752,0.0001664790882690189,-0.015736129134893417
80,20736,-0.009269393566581938,0.0004379408007177214,-0.01605004258453846
81,20992,-0.005062256681008471,0.0004733021390469124,-0.01741248555481434
82,21248,-0.004930545782877339,0.0004567366930940706,-0.002025431487709284
